key1,value1,key2,label,rank,rank_point,rank_line,rank_polygon
railway,switch,, Aiguillage,0.1,,,
tunnel,culvert,name, Buse,0.1,,,
waterway,ditch,name, Fossé,0.1,,,
waterway,drain,name, Drain,0.1,,,
highway,motorway,name, Autoroute,0,,,
highway,motorway_link,name, Voie autoroutière,0,,,
highway,primary,name, Route principale,0,,,
highway,primary_link,name, Route principale,0,,,
highway,speed_camera,name, Radar de vitesse,0,,,
highway,trunk,name, Voie express,0,,,
highway,trunk_link,name, Voie express,0,,,
office,yes,, Bureau,0,,,
place,airport,, Aéroport,0,,,
place,allotments,, Jardins familiaux,0,,,
place,block,name, Bloc,0,,,
place,county,name, Comté,0,,,
place,farm,name, Ferme,0,,,
place,hamlet,name, Hameau,0,,,
place,house,name, Maison,0,,,
place,houses,name, Maisons,0,,,
place,isolated_dwelling,name, Habitation isolée,0,,,
place,locality,name, Lieu-dit,0,,,
place,moor,, Maure,0,,,
place,neighbourhood,, Quartier,0,,,
place,postcode,, Code postal,0,,,
place,sea,, Mer / Océan,0,,,
place,subdivision,name, Subdivision,0,,,
place,suburb,name, Quartier,0,,,
place,unincorporated_area,name, Territoire non organisé,0,,,
amenity,animal_shelter,, Refuge pour animaux,,,,
amenity,arts_centre,, Centre artistique,,,,
amenity,bench,name, Banc,,,,
boundary,administrative,name, Limite administrative,,,,
boundary,census,name, Frontière statistique,,,,
highway,milestone,name, Borne kilométrique,,,,
